Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+05:30,1211.6986779711865,1215.4018787524617,1206.4762480234222,1214.072509765625,1836849,0.0,0.0
2020-01-02 00:00:00+05:30,1214.4522790695733,1222.998073058335,1214.4522790695733,1221.8111572265625,3068583,0.0,0.0
2020-01-03 00:00:00+05:30,1217.4909345322433,1220.1496727901679,1199.8296472753664,1204.387451171875,5427775,0.0,0.0
2020-01-06 00:00:00+05:30,1196.41115332866,1198.1203584830291,1173.6223694557332,1178.322509765625,5445093,0.0,0.0
2020-01-07 00:00:00+05:30,1195.366797726137,1207.2833641486106,1189.0523817800904,1196.98095703125,7362247,0.0,0.0
2020-01-08 00:00:00+05:30,1184.0197778084457,1198.4527446857237,1177.4680947739591,1193.8475341796875,5666055,0.0,0.0
2020-01-09 00:00:00+05:30,1201.158929130187,1211.4139291973368,1199.3547937226642,1207.2359619140625,4773158,0.0,0.0
2020-01-10 00:00:00+05:30,1219.294945164655,1221.953683150215,1210.74915066647,1217.965576171875,4607290,0.0,0.0
2020-01-13 00:00:00+05:30,1217.9654948859943,1231.0690919392587,1211.603672436941,1221.0989990234375,3725784,0.0,0.0
2020-01-14 00:00:00+05:30,1223.9477189749236,1227.3186066129635,1213.0280923122305,1224.4224853515625,3943145,0.0,0.0
2020-01-15 00:00:00+05:30,1221.4788964299555,1222.9506025787039,1209.7995977798673,1219.4373779296875,5893724,0.0,0.0
2020-01-16 00:00:00+05:30,1217.3484116892012,1225.8466827619545,1214.7846039222377,1222.665771484375,3575200,0.0,0.0
2020-01-17 00:00:00+05:30,1217.0635582662128,1220.0546095024167,1207.710684199151,1213.645263671875,8459407,0.0,0.0
2020-01-20 00:00:00+05:30,1238.9977153218306,1238.9977153218306,1189.2897018630385,1191.568603515625,11089225,0.0,0.0
2020-01-21 00:00:00+05:30,1186.915908478901,1186.915908478901,1175.901352030168,1181.551025390625,7492402,0.0,0.0
2020-01-22 00:00:00+05:30,1185.0644890917938,1191.6636958643462,1172.1033428432677,1178.227783203125,9184155,0.0,0.0
2020-01-23 00:00:00+05:30,1177.4205464290326,1183.9248222334038,1168.8747521404348,1182.0257568359375,5754460,0.0,0.0
2020-01-24 00:00:00+05:30,1183.1177428463984,1190.7140044377077,1176.5659440419438,1181.740966796875,5915878,0.0,0.0
2020-01-27 00:00:00+05:30,1172.6727573704532,1172.6727573704532,1150.5961244887828,1151.972900390625,9444276,0.0,0.0
2020-01-28 00:00:00+05:30,1157.2905325235117,1165.8363270553764,1152.020579531626,1161.4683837890625,6706079,0.0,0.0
2020-01-29 00:00:00+05:30,1163.4624798899804,1179.3196298370924,1160.5663587507136,1173.47998046875,6894175,0.0,0.0
