Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-01 00:00:00+05:30,728.3529512398775,728.9381024357012,720.3554864690111,724.1591186523438,688037,0.0,0.0
2020-01-02 00:00:00+05:30,723.6716049730653,749.5169916887249,722.6963129992856,747.4201049804688,2423328,0.0,0.0
2020-01-03 00:00:00+05:30,750.9311153839517,750.9311153839517,732.9368338800223,737.9596557617188,1417070,0.0,0.0
2020-01-06 00:00:00+05:30,736.7405586634736,737.1306993361975,716.8444601100853,718.7950439453125,961348,0.0,0.0
2020-01-07 00:00:00+05:30,719.9654097407798,737.3257135352501,717.332139479529,723.9641723632812,1108401,0.0,0.0
2020-01-08 00:00:00+05:30,717.2345996247009,731.3764220535578,715.4790263644741,724.3054809570312,1317705,0.0,0.0
2020-01-09 00:00:00+05:30,734.3510870522764,742.4948554731423,731.522746388735,738.5936279296875,1477783,0.0,0.0
2020-01-10 00:00:00+05:30,738.1060235265757,747.566397376008,732.4492823457259,737.569580078125,1266475,0.0,0.0
2020-01-13 00:00:00+05:30,738.3010569280829,746.1033922197229,738.3010569280829,740.8367919921875,835989,0.0,0.0
2020-01-14 00:00:00+05:30,743.9576738186578,748.9317278781689,734.4973012595393,741.1293334960938,1190936,0.0,0.0
2020-01-15 00:00:00+05:30,739.2763955903315,750.004667058973,729.0357402261557,747.4688720703125,1522089,0.0,0.0
2020-01-16 00:00:00+05:30,748.3953266453944,751.9551808619854,734.497342619447,737.3744506835938,1041500,0.0,0.0
2020-01-17 00:00:00+05:30,697.3385236266538,752.930523221599,693.4372960722974,749.273193359375,4938472,0.0,0.0
2020-01-20 00:00:00+05:30,748.639164888051,758.2946083134275,743.6164027281038,753.7107543945312,1581541,0.0,0.0
2020-01-21 00:00:00+05:30,759.7576503542724,761.805769484511,744.5917674617251,752.5892333984375,1667878,0.0,0.0
2020-01-22 00:00:00+05:30,751.8088417425016,779.2634951541116,748.1515123024116,773.314208984375,3093985,0.0,0.0
2020-01-23 00:00:00+05:30,765.6094763888855,791.8937719950635,763.6588923961741,788.9191284179688,2597472,0.0,0.0
2020-01-24 00:00:00+05:30,788.0412285362034,804.0361590198281,776.2888984699474,801.6954345703125,1933519,0.0,0.0
2020-01-27 00:00:00+05:30,794.8683073534316,816.2273724818366,789.9918480355673,793.0152587890625,2820058,0.0,0.0
2020-01-28 00:00:00+05:30,797.306675445148,803.4998005394768,777.5568780494935,788.9191284179688,1790691,0.0,0.0
